x	y	class	name	color
957.4113029827315	71.74097331240188		no label	0
985.3003663003662	106.70695970695971		no label	0
720.4930402930403	197.814652014652		no label	0
778.1927710843373	257.40266328471785		no label	0
181.87573964497042	258.0153846153846		no label	0
149.1262425447316	275.3956262425447		no label	0
723.3457311918851	294.1656804733728		no label	0
631.3233333333334	488.97866666666664		no label	0
678.5917537746806	551.3170731707318		no label	0
602.4134007585335	749.1327433628319		no label	0
718.6041666666666	831.0625		no label	0
627.4943342776204	845.1182719546742		no label	0
921.4452690166976	848.9842300556586		no label	0
960.4446680080483	853.6619718309859		no label	0
1045.9395248380129	877.5161987041037		no label	0
1009.0358180058083	893.1384317521781		no label	0
623.9123222748815	900.2101105845181		no label	0
559.4587597832631	945.6526189042745		no label	0
596.444286728176	941.8445706174592		no label	0
653.4319852941177	1091.5294117647059		no label	0
700.2	1101.8461538461538		no label	0
