x	y	class	name	color
300.7965290245362	38.222022740873726		no label	0
1057.7913513513513	101.23513513513514		no label	0
740.600439882698	147.13049853372434		no label	0
1056.8172338090012	205.3177826564215		no label	0
733.4496330887258	293.8552368245497		no label	0
322.7004903809883	326.3153526970954		no label	0
765.249696969697	335.8		no label	0
700.6677115987461	350.49059561128524		no label	0
833.8912111468381	371.115219721329		no label	0
734.2559867877787	360.748142031379		no label	0
145.29166666666666	362.9583333333333		no label	0
285.2148715144888	393.3739748496446		no label	0
1093.819526627219	439.06508875739644		no label	0
628.8407286314806	476.9654367118169		no label	0
170.7593984962406	493.8045112781955		no label	0
196.4009009009009	508.6216216216216		no label	0
105.12345679012346	535.5185185185185		no label	0
1050.0863844393593	571.0869565217391		no label	0
427.31274900398404	581.1623505976096		no label	0
1032.1512915129151	665.9926199261993		no label	0
388.3330188679245	689.4679245283019		no label	0
1090.9348986125933	756.247598719317		no label	0
478.3405172413793	776.1163793103449		no label	0
291.53142076502735	1001.7076502732241		no label	0
200.92141756548537	1053.4956343091935		no label	0
278.5857247976453	1087.7270051508463		no label	0
